Title,Note,URL,Tags,Comment
Canopy by Hilton San Francisco SoMa,,https://www.google.com/maps/place/Canopy+by+Hilton+San+Francisco+SoMa/data=!4m2!3m1!1s0x8085813e5a020b19:0x6eabb3be2cc0104c,,
Blue Bottle Coffee,,https://www.google.com/maps/place/Blue+Bottle+Coffee/data=!4m2!3m1!1s0x808581924d9913e3:0xc49ababab4159150,,
Home Coffee Roasters,,https://www.google.com/maps/place/Home+Coffee+Roasters/data=!4m2!3m1!1s0x8085811d82ee7591:0x600ed8193a0d74da,,
CoffeeShop | Bakery + Micro-Roastery,,https://www.google.com/maps/place/CoffeeShop+%7C+Bakery+%2B+Micro-Roastery/data=!4m2!3m1!1s0x808f7f007b9727c5:0x3dafa6b581100ce9,,
Blue Bottle Coffee,,https://www.google.com/maps/place/Blue+Bottle+Coffee/data=!4m2!3m1!1s0x8085819d8fb03a3f:0x733767b3eb555c56,,
Andytown Coffee Roasters,,https://www.google.com/maps/place/Andytown+Coffee+Roasters/data=!4m2!3m1!1s0x808587f1d2686b21:0x8af83bb35c2a4ad6,,
Maison Alyzée,,https://www.google.com/maps/place/Maison+Alyz%C3%A9e/data=!4m2!3m1!1s0x808fb73414f48913:0x78244a352b8fe114,,
Equator Coffees,,https://www.google.com/maps/place/Equator+Coffees/data=!4m2!3m1!1s0x8085851594591d8b:0x76c0f54b5fda6b60,,
Breka Bakery & Café - W Hastings,24/7. The first one I've seen,https://www.google.com/maps/place/Breka+Bakery+%26+Caf%C3%A9+-+W+Hastings/data=!4m2!3m1!1s0x5486716fe1fa7d5f:0x95534d2ac2dc2dd0,,
Koffie,,https://www.google.com/maps/place/Koffie/data=!4m2!3m1!1s0x54867183cf2f21e7:0xc55d0f02721e8b86,,
JJ Bean Coffee Roasters,,https://www.google.com/maps/place/JJ+Bean+Coffee+Roasters/data=!4m2!3m1!1s0x54867183018c472b:0xb842d2a5615bc4d3,,
Giovane Caffè,,https://www.google.com/maps/place/Giovane+Caff%C3%A8/data=!4m2!3m1!1s0x54867183094ee807:0x79ff2e3d9623f211,,
KIELO COFFEE Akihabara,,https://www.google.com/maps/place/KIELO+COFFEE+Akihabara/data=!4m2!3m1!1s0x60188f20ebd39abd:0x43de0e1343558110,,
Marouf Coffee,,https://www.google.com/maps/place/Marouf+Coffee/data=!4m2!3m1!1s0x340401440a9a05f1:0x9e3ccb27a75c9b63,,
Black Sugar Coffee & Lifestyle,,https://www.google.com/maps/place/Black+Sugar+Coffee+%26+Lifestyle/data=!4m2!3m1!1s0x3404013249dc381b:0x68d06c5b569b2f6,,
NOC Coffee Co. (Tsim Sha Tsui East),,https://www.google.com/maps/place/NOC+Coffee+Co.+(Tsim+Sha+Tsui+East)/data=!4m2!3m1!1s0x340401fa9411cc9b:0x89880faf2c32e2c7,,
H.Coffee & Shop | The Corner,,https://www.google.com/maps/place/H.Coffee+%26+Shop+%7C+The+Corner/data=!4m2!3m1!1s0x340401311b73e669:0xa7947cc02807f6e9,,
Hills House Sky Room Café&Bar,,https://www.google.com/maps/place/Hills+House+Sky+Room+Caf%C3%A9%26Bar/data=!4m2!3m1!1s0x60188bc2dc815817:0x3cf3420d35016166,,
Cafe Triomphe,,https://www.google.com/maps/place/Cafe+Triomphe/data=!4m2!3m1!1s0x60188c1e1f69753d:0x6bcefe830a3020f7,,
Blue Bottle Coffee,,https://www.google.com/maps/place/Blue+Bottle+Coffee/data=!4m2!3m1!1s0x808f7ff9460589d5:0x98ab839714c3038b,,
Blue Bottle Coffee,,https://www.google.com/maps/place/Blue+Bottle+Coffee/data=!4m2!3m1!1s0x80858078fe4b8b6b:0xc2894e64a344c542,,
White Noise Coffee - Coffee Shop & Roastery,,https://www.google.com/maps/place/White+Noise+Coffee+-+Coffee+Shop+%26+Roastery/data=!4m2!3m1!1s0x89c2591ffa9738df:0x84b809dc5d3e3181,,
Afficionado Coffee Roasters,,https://www.google.com/maps/place/Afficionado+Coffee+Roasters/data=!4m2!3m1!1s0x89c3d32f93bb637f:0x6f96319b26fe2897,,
Manny’s,,https://www.google.com/maps/place/Manny%E2%80%99s/data=!4m2!3m1!1s0x808f7fbca72c2553:0xa26a4d14f1af0f2b,,
Dandelion Chocolate,,https://www.google.com/maps/place/Dandelion+Chocolate/data=!4m2!3m1!1s0x808f7e3d23f5dddd:0x3342559449ab0793,,
Poesia Cafe,,https://www.google.com/maps/place/Poesia+Cafe/data=!4m2!3m1!1s0x808f7f5a5f8f2ac1:0x7a218364b272c666,,
Kenz Coffee Bar @ Oklava,,https://www.google.com/maps/place/Kenz+Coffee+Bar+@+Oklava/data=!4m2!3m1!1s0x808fbbaf404de105:0xc59f1e27a404007,,
"La Boulangerie de San Francisco, Noe Valley",,"https://www.google.com/maps/place/La+Boulangerie+de+San+Francisco,+Noe+Valley/data=!4m2!3m1!1s0x808f7e149cda5b35:0xabf9d1b81c18a89c",,
Cafe Réveille,,https://www.google.com/maps/place/Cafe+R%C3%A9veille/data=!4m2!3m1!1s0x80858080115485ad:0xfdddfa12d0dbe0c1,,
Sightglass Coffee,,https://www.google.com/maps/place/Sightglass+Coffee/data=!4m2!3m1!1s0x808f7e373f977f1f:0x25f057af5269cec5,,
Bean Bag Cafe,,https://www.google.com/maps/place/Bean+Bag+Cafe/data=!4m2!3m1!1s0x808580afcc5b6f7b:0xc40f190c24ddb405,,
Bluestone Lane SOMA Coffee Shop,,https://www.google.com/maps/place/Bluestone+Lane+SOMA+Coffee+Shop/data=!4m2!3m1!1s0x808581c8e3b20c67:0x95f6c8cebc1a0c91,,
Brigadeirando,,https://www.google.com/maps/place/Brigadeirando/data=!4m2!3m1!1s0xd19351939e5d503:0xd3af920af5c58a44,,
NUMA CAFÉ,,https://www.google.com/maps/place/NUMA+CAF%C3%89/data=!4m2!3m1!1s0xd1933cda1e0686b:0x44bf8882b3b21bb2,,
Copenhagen Coffee Lab - Alfama,,https://www.google.com/maps/place/Copenhagen+Coffee+Lab+-+Alfama/data=!4m2!3m1!1s0xd193475e4ac1db3:0x717f4f026c47d4f5,,
SO Coffee Roasters,,https://www.google.com/maps/place/SO+Coffee+Roasters/data=!4m2!3m1!1s0xd1935dd1bb851d3:0xd818663d7b86b27,,
Copenhagen Coffee Lab - Cais do Sodré,,https://www.google.com/maps/place/Copenhagen+Coffee+Lab+-+Cais+do+Sodr%C3%A9/data=!4m2!3m1!1s0xd1935d7a195f9bd:0xb5673f6b7cdb555b,,
The café,,https://www.google.com/maps/place/The+caf%C3%A9/data=!4m2!3m1!1s0x48761bf324deac9f:0x6c625ea0e9ce75c,,
BOB Coffee Lab,,https://www.google.com/maps/place/BOB+Coffee+Lab/data=!4m2!3m1!1s0x40b2021147c06fff:0x5063f3e4454e6107,,
STEAM Coffee Shop,,https://www.google.com/maps/place/STEAM+Coffee+Shop/data=!4m2!3m1!1s0x40b2020fd7d94a21:0xad1bc669db17bbba,,
papsh café,,https://www.google.com/maps/place/papsh+caf%C3%A9/data=!4m2!3m1!1s0x40b1f9722602601d:0xfa800a5409b0d252,,
OTOTO Store Victoriei,,https://www.google.com/maps/place/OTOTO+Store+Victoriei/data=!4m2!3m1!1s0x40b1fffabe43d919:0xa1f539e75f9b3e6c,,
Beans & Dots Specialty Coffee,One hour laptop limit,https://www.google.com/maps/place/Beans+%26+Dots+Specialty+Coffee/data=!4m2!3m1!1s0x40b1ff43fb0c94db:0x728471a1773d16e6,,
Tucano Coffee Guatemala,,https://www.google.com/maps/place/Tucano+Coffee+Guatemala/data=!4m2!3m1!1s0x40b1ff4d7cc55e9b:0xd12118b685c629d8,,
Mugshot,,https://www.google.com/maps/place/Mugshot/data=!4m2!3m1!1s0x40b1fff7dcc63893:0x8ae234456d09b2d9,,
Mustață,,https://www.google.com/maps/place/Musta%C8%9B%C4%83/data=!4m2!3m1!1s0x40b35b2c78c901bb:0x7fb2f404856b4cbf,,
STEAM Coffee Shop,,https://www.google.com/maps/place/STEAM+Coffee+Shop/data=!4m2!3m1!1s0x40b1ffb5c88c43d3:0xf42308c1048f2052,,
Călătoria Cafe and Cocktail II,,https://www.google.com/maps/place/C%C4%83l%C4%83toria+Cafe+and+Cocktail+II/data=!4m2!3m1!1s0x40b1ffac5178ca37:0xfeeec367f4f3e33f,,
Popa Tatu 68,,https://www.google.com/maps/place/Popa+Tatu+68/data=!4m2!3m1!1s0x40b1ff9cb71a7aad:0x369c11c233bc7663,,
Milu Café,,https://www.google.com/maps/place/Milu+Caf%C3%A9/data=!4m2!3m1!1s0x40b1ff3e6f2df935:0x31407b2631aafda2,,
